screen_name,location,id,source,favorite_count,favorited,lang,hashtags,created_at,text,tags,is_retweet,retweet_author,n_words,has_link,emoji_count,emojis
burn23,"Portland, OR",14516840,Instagram,0,False,en,"[{'text': 'vhs', 'indices': [77, 81]}, {'text': 'dvd', 'indices': [82, 86]}, {'text': 'tapes', 'indices': [87, 93]}, {'text': 'film', 'indices': [94, 99]}]",2019-07-04 19:52:26,"Nice little 4th of July themed stack, you know, since it's the 4th of July. https://t.co/e0ARqQHZF6","['vhs', 'dvd', 'tapes', 'film']",False,,99,True,0,
NaumovskiDusan,"Belgrade, Serbia",796508348,IFTTT,1,False,en,[],2019-07-04 19:50:29,Just Pinned to ✪ STICKERS WORLD ✪ various stickers for sale online: SMILE! famous movie quote - Jaws - Sticker | Te… https://t.co/lmtgH2a7u6,[],False,,140,True,0,
theknightcave,"Maryland, USA",701799418731884549,Instagram,4,False,en,"[{'text': 'batman', 'indices': [84, 91]}, {'text': 'joker', 'indices': [92, 98]}, {'text': '4thofjuly', 'indices': [99, 109]}]",2019-07-04 19:50:14,Happy 4th of July everyone! Let's hope Batman doesn't spoil the fireworks tonight. https://t.co/Khkdiyd1r1,"['batman', 'joker', '4thofjuly']",False,,106,True,0,
CanetheSutter,"London, England",2409307016,Twitter for Android,0,False,en,[],2019-07-04 19:50:03,"Over 40%, £6000  and more than  supporters. Thank you all. 14 days to go! Share our campaign to make Deptford Cinema m…",[],True,DeptfordCinema,120,False,1,💯
youhaventseenwh,unknown,967478989009932290,Twitter for iPhone,1,False,en,"[{'text': 'YouHaventSeenWhat', 'indices': [48, 66]}, {'text': 'YouHaventSeenWhatMovie', 'indices': [67, 90]}, {'text': 'movies', 'indices': [91, 98]}, {'text': 'podcasting', 'indices': [99, 110]}]",2019-07-04 19:49:34,"Don’t Be Mistaken, You Gotta Listen To Breakin’! Movie https://t.co/qfsgwRwMlv","['YouHaventSeenWhat', 'YouHaventSeenWhatMovie', 'movies', 'podcasting']",False,,78,True,0,
DeptfordCinema,"Deptford, London",2573907837,Twitter for iPhone,0,False,en,[],2019-07-04 19:49:11,"Over 40%, £6000  and more than  supporters. Thank you all. 14 days to go! Share our campaign to make Deptford Cine… https://t.co/bAt6fsKyyF",[],False,,140,True,1,💯
JuliensAuctions,"Culver City, CA",45662367,Twitter Web Client,1,False,en,"[{'text': 'ElizabethTaylor', 'indices': [92, 108]}]",2019-07-04 19:48:52,"""More Items From Elizabeth Taylor’s Personal Collection Head to Auction"" via @BarronsOnline https://t.co/tPFnTqpQEl",['ElizabethTaylor'],False,,115,True,0,
GemmaArtertonIT,unknown,2829443145,Twitter for Android,0,False,en,"[{'text': 'tomorrow', 'indices': [39, 48]}, {'text': 'Glasgow', 'indices': [78, 86]}, {'text': 'Brighton', 'indices': [90, 99]}, {'text': 'dressup', 'indices': [100, 108]}, {'text': 'getup', 'indices': [109, 115]}, {'text': 'getout', 'indices': [120, 127]}]",2019-07-04 19:48:52,UK are you ready!?!?! in a theater near you!! From to and for this,"['tomorrow', 'Glasgow', 'Brighton', 'dressup', 'getup', 'getout', 'm']",True,mirrorprods,66,False,0,
LndOntRetweets,"London, Ontario",3618354350,LndOntRetweet,0,False,en,"[{'text': 'journalist', 'indices': [33, 44]}, {'text': 'film', 'indices': [71, 76]}]",2019-07-04 19:48:46,"If you are a looking to cover a unique event this fall, you have found it! We are a regional festival…","['journalist', 'film']",True,FCfilmfestival,102,False,0,
WLImbalance,"Birmingham, AL",941572527616180224,Twitter for iPhone,0,False,en,"[{'text': 'poll', 'indices': [113, 118]}]",2019-07-04 19:48:24,We're still heeeerrrrreeeee!! We're taking suggestions &amp; requests for our 200th episode !! Tell us what,"['poll', 'Supernat']",True,InvasionRemake,107,False,0,
DeborahJohnso13,unknown,363112140,Twitter for iPad,0,False,en,"[{'text': 'Buddha', 'indices': [109, 116]}, {'text': 'writing', 'indices': [117, 125]}, {'text': 'acting', 'indices': [126, 133]}, {'text': 'film', 'indices': [134, 139]}]",2019-07-04 19:48:03,No one saves us but ourselves. No one can and no one may. We ourselves must walk the path.,"['Buddha', 'writing', 'acting', 'film']",True,noveliciouss,90,False,0,
DarkslideP,unknown,992156189206106113,Instagram,1,False,en,"[{'text': 'indiefilm', 'indices': [58, 68]}, {'text': 'independent', 'indices': [69, 81]}, {'text': 'experimental', 'indices': [82, 95]}, {'text': 'film', 'indices': [96, 101]}, {'text': 'indie', 'indices': [102, 108]}]",2019-07-04 19:47:52,"Stacey finally answers the phone, but something is off... https://t.co/0Km2I5aZud","['indiefilm', 'independent', 'experimental', 'film', 'indie']",False,,81,True,0,
FlawInTheIris,"Halifax, NS",373155003,Twitter for iPhone,0,False,en,"[{'text': 'SpiderMan', 'indices': [21, 31]}]",2019-07-04 19:47:18,", winningly played by Tom Holland again, resumes what can only seem like a weird, stressful life, following…",['SpiderMan'],True,halifaxbloggers,108,False,0,
bwire_baraza,Kenya ,1034040830707859458,Twitter for Android,0,False,en,[],2019-07-04 19:46:18,Trust me when I tell you kisumu is a hub for creativity 🥰🥰 Give it 5more years and see Kisumu film industry grow bigge…,[],True,VigilanceAtieno,119,False,0,
jcaliph,unknown,370927644,Twitter for iPhone,1,False,en,"[{'text': 'film', 'indices': [32, 37]}, {'text': 'music', 'indices': [42, 48]}, {'text': 'movie', 'indices': [49, 55]}, {'text': 'july4th', 'indices': [56, 64]}]",2019-07-04 19:45:18,So excited to be a part of this    https://t.co/HahHxoMazX,"['film', 'music', 'movie', 'july4th']",False,,62,True,3,🎞 🎥 🇺🇸
EmpireDynamic,50 MILLION VIEWS MONTHLY,3240286377,Twibble.io,0,False,en,[],2019-07-04 19:45:14,‘Stranger Things’ Cast Talk ‘Light Atmosphere’ in Key Season 3 Storyline (SPOILERS) https://t.co/YIRcrFL9GA… https://t.co/fOtjQmDGQH,[],False,,132,True,0,
KalBashir,"London, LA, NYC",29163076,IFTTT,0,False,en,"[{'text': 'film', 'indices': [97, 102]}, {'text': 'producer', 'indices': [103, 112]}]",2019-07-04 19:45:11,"2100+ stage Hero’s Journey, Transformation, New World tips of the day at https://t.co/tibUlaAIiQ https://t.co/UolKBmzgGY","['film', 'producer']",False,,120,True,0,
dvdinfatuation,Pennsylvania,190586896,TweetDeck,3,False,en,"[{'text': '80s', 'indices': [43, 47]}, {'text': 'film', 'indices': [48, 53]}]",2019-07-04 19:45:00,Harrison Ford was offered the lead in this but he turned it down - https://t.co/AulvOcQJRZ https://t.co/Msadi9xVYT,"['80s', 'film']",False,,114,True,0,
CaythorpeSchool,unknown,492414176,Twitter for iPhone,1,False,en,"[{'text': 'residential', 'indices': [34, 46]}, {'text': 'film', 'indices': [47, 52]}, {'text': 'hotchocolate', 'indices': [53, 66]}]",2019-07-04 19:44:36,We’re in our pjs watching a film! https://t.co/4ZsQebEhP8,"['residential', 'film', 'hotchocolate']",False,,57,True,0,
MoviePromo2000,unknown,840299900122365953,Twitter for iPhone,0,False,en,"[{'text': 'Mute', 'indices': [18, 23]}, {'text': 'film', 'indices': [39, 44]}, {'text': 'DuncanJones', 'indices': [65, 77]}, {'text': 'AlexanderSkarsgard', 'indices': [119, 138]}]",2019-07-04 19:44:36,is a beautiful artfully crafted by with an incredibly moving performance by,"['Mute', 'film', 'DuncanJones', 'AlexanderSkarsgard']",True,DFXHOMEVIDEO,75,False,0,
UndergroundPres,South Africa,14154047,Twitter for Android,0,False,en,"[{'text': 'film', 'indices': [49, 54]}, {'text': 'bond25', 'indices': [55, 62]}]",2019-07-04 19:44:31,Grace Jones deserves more screen time than this. https://t.co/QUd2ikR8vT @thesource,"['film', 'bond25']",False,,83,True,0,
CoyCompositions,"West Jordan, UT",952690997904863232,Twitter for Android,0,False,en,"[{'text': 'UDEN', 'indices': [28, 33]}, {'text': 'UTProud', 'indices': [55, 63]}, {'text': 'AR', 'indices': [64, 67]}, {'text': 'VR', 'indices': [68, 71]}, {'text': 'Film', 'indices': [72, 77]}, {'text': 'Games', 'indices': [78, 84]}, {'text': 'Streaming', 'indices': [85, 95]}, {'text': 'Audio', 'indices': [96, 102]}]",2019-07-04 19:44:16,Happy July 4th friends! Be safe x https://t.co/qvGracg544,"['UDEN', 'UTProud', 'AR', 'VR', 'Film', 'Games', 'Streaming', 'Audio']",True,UtahDEN,57,True,0,
