screen_name,location,id,source,favorite_count,favorited,lang,hashtags,created_at,text,tags,is_retweet,retweet_author,n_words,has_link,emoji_count,emojis
ChickFlickADay,"Magnolia, CA",821524665055248384,ChickFlickADay,0,False,en,"[{'text': 'Film', 'indices': [95, 100]}, {'text': 'Drama', 'indices': [101, 107]}, {'text': 'Action', 'indices': [108, 115]}]",2019-07-04 22:45:02,"Gaylord Carter wrote music for Charles Reisner &amp; Buster Keaton's Steamboat Bill, Jr. (1928) https://t.co/awJz2juKKC","['Film', 'Drama', 'Action']",False,,119,True,0,
plantationsda,"400 NW 118th Ave Plantation,FL",843978692258926592,Buffer,0,False,en,"[{'text': 'FEAR', 'indices': [23, 28]}]",2019-07-04 22:45:00,"Missed the premiere of from the Plantation Film Ministry? Good news, you can watch it on demand in HD! Turn o… https://t.co/lU6L4eTnfY",['FEAR'],False,,134,True,0,
dvdinfatuation,Pennsylvania,190586896,TweetDeck,0,False,en,"[{'text': 'film', 'indices': [86, 91]}, {'text': 'movie', 'indices': [107, 113]}]",2019-07-04 22:45:00,"Because he feuded frequently with its director, the actor playing a guitarist in this didn't see the u… https://t.co/yhgnXqWGQu","['film', 'movie']",False,,127,True,0,
favour_magnet,Nigeria,198852802,Instagram,0,False,en,"[{'text': 'wawaallright', 'indices': [80, 93]}, {'text': 'dance', 'indices': [94, 100]}, {'text': 'act', 'indices': [101, 105]}, {'text': 'movie', 'indices': [106, 112]}]",2019-07-04 22:43:32,"No need to worry!, Wa wa Allright. ️️ Crazy Jam baba @akinalabifilms https://t.co/DeOMqb8kdH","['wawaallright', 'dance', 'act', 'movie']",False,,101,True,5,😜 😜 🙅🏾‍♂️ ❤ ❤
hamish_brown,"ÜT: 51.397239,-0.029803",24974422,Instagram,0,False,en,"[{'text': '5x4', 'indices': [36, 40]}, {'text': '4x5', 'indices': [41, 45]}, {'text': 'film', 'indices': [46, 51]}, {'text': 'kodakmoment', 'indices': [52, 64]}]",2019-07-04 22:43:17,@markcavendish by @hamish_brown   @kayteellisteam thank you trueblackstudio and… https://t.co/X0VoEIh8HG,"['5x4', '4x5', 'film', 'kodakmoment']",False,,106,True,2,🎞 📷
adsausage,London / Los Angeles,14541436,Twitter Web App,2,False,en,[],2019-07-04 22:42:24,"The LA Times called THE GAY DECEIVERS ""Pretty funny and surprisingly inoffensive.""

Bruce Kessler's R-rated movie o… https://t.co/MEEvSUYhuy",[],False,,140,True,0,
dov_Now,Indonesia,811842890200551425,Twitter for iPhone,0,False,en,"[{'text': 'writing', 'indices': [110, 118]}, {'text': 'film', 'indices': [119, 124]}, {'text': 'acting', 'indices': [125, 132]}]",2019-07-04 22:40:19,"It's with words as with sunbeams. The more they're condensed, the deeper they burn. Southey","['writing', 'film', 'acting', 'amwri']",True,noveliciouss,91,False,0,
FreeDailyDoc,"New York, NY",825625460092653568,FreeDailyDoc,0,False,en,"[{'text': 'Film', 'indices': [57, 62]}, {'text': 'FreeMovie', 'indices': [63, 73]}, {'text': 'Documentary', 'indices': [74, 86]}]",2019-07-04 22:40:03,Nathalie Trépanier directed 5 pieds 2 - 80000 lbs (1999) WATCH NOW:… https://t.co/oq5brHjyyE,"['Film', 'FreeMovie', 'Documentary']",False,,92,True,0,
FreeDailyToon,ToonTown,908789906939445250,FreeDailyToon,0,False,en,"[{'text': 'Film', 'indices': [98, 103]}, {'text': 'Short', 'indices': [104, 110]}, {'text': 'Action', 'indices': [111, 118]}]",2019-07-04 22:39:02,Director Lucas Martell and composer Brad Holmes &amp; David Boyle worked on The OceanMaker (2014) https://t.co/NTra8H4osm,"['Film', 'Short', 'Action']",False,,121,True,0,
popologues,unknown,1146907186318073856,Twitter for iPhone,3,False,en,[],2019-07-04 22:38:59,WELCOME TO POPOLOGUES! If you are unfamiliar with my work— I do 60 second monologues of popular tunes! To kick thin… https://t.co/UURlkmmcaP,[],False,,140,True,0,
